country,c_code,series,s_code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Indonesia,IDN,Tree Cover Loss (hectares),AG.LND.FRLS.HA,1396251,1944963,1279332,1543629,2260261,1139299,1894361,1746471,2422072,1300719,1218733
Indonesia,IDN,Forest area (% of land area),AG.LND.FRST.ZS,53.25291515,53.16658846,53.08026177,52.58691923,52.09357668,51.60023414,51.10689159,50.61354905,50.74345453,50.03933382,49.71681778
Malaysia,MYS,Tree Cover Loss (hectares),AG.LND.FRLS.HA,367972,622780,430607,463078,628171,333221,645779,454345,565249,483416,437985
Malaysia,MYS,Forest area (% of land area),AG.LND.FRST.ZS,58.12323847,57.89688023,57.67052199,57.98497641,58.29943083,58.61388525,58.92833967,59.2427941,58.78752093,58.63488054,58.48224015
Singapore,SGP,Tree Cover Loss (hectares),AG.LND.FRLS.HA,35,177,44,74,92,26,191,155,154,263,289
Singapore,SGP,Forest area (% of land area),AG.LND.FRST.ZS,25.13571429,25.23957143,25.27122507,24.83892045,24.40906516,24.0155587,23.58984485,23.23187588,22.9696756,22.62640449,22.31092437
Vietnam,VNM,Tree Cover Loss (hectares),AG.LND.FRLS.HA,108286,137716,174256,130786,181242,132423,217342,217883,353446,286940,225155
Vietnam,VNM,Forest area (% of land area),AG.LND.FRST.ZS,41.7762219,42.29306629,42.73321545,43.16473232,43.57082471,44.06395211,44.44284889,44.87116404,45.87835488,45.99633698,46.23468154
Thailand,THA,Tree Cover Loss (hectares),AG.LND.FRLS.HA,80143,132690,134984,94545,114508,84754,137615,120808,171639,196457,133533
Thailand,THA,Forest area (% of land area),AG.LND.FRST.ZS,38.86942395,39.07984106,39.29025818,39.28556049,39.28086281,39.27616512,39.27146744,39.26676975,39.18064554,39.11018027,39.03971501
Philippines,PHL,Tree Cover Loss (hectares),AG.LND.FRLS.HA,38703,60890,102649,33253,59587,58871,102456,65896,129110,114281,70534
Philippines,PHL,Forest area (% of land area),AG.LND.FRST.ZS,23.25394238,23.09646846,22.93899453,23.0559949,23.17299527,23.28999564,23.40699601,23.52399638,23.64101016,23.75802395,23.87500419
Timor-Leste,TLS,Tree Cover Loss (hectares),AG.LND.FRLS.HA,833,2634,649,1463,1887,463,1883,863,1296,1713,1244
Timor-Leste,TLS,Forest area (% of land area),AG.LND.FRST.ZS,63.07330195,62.97915266,62.88500336,62.79085407,62.69670477,62.60255548,62.50840619,62.41425689,62.3201076,62.24613315,62.13180901
Myanmar,MMR,Tree Cover Loss (hectares),AG.LND.FRLS.HA,119216,216306,169913,135716,225189,248186,331445,293305,362552,341845,278709
Myanmar,MMR,Forest area (% of land area),AG.LND.FRST.ZS,49.17485114,48.65101944,48.12938187,47.68370555,47.25036515,46.81182091,46.36821216,45.92460342,45.50189957,45.06016086,44.61974874
Brunei Darussalam,BRN,Tree Cover Loss (hectares),AG.LND.FRLS.HA,1300,2169,967,2620,1837,888,2225,1761,2573,945,807
Brunei Darussalam,BRN,Forest area (% of land area),AG.LND.FRST.ZS,72.75142315,72.4288425,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186
Cambodia,KHM,Tree Cover Loss (hectares),AG.LND.FRLS.HA,83499,121021,237882,192155,195569,190096,161797,132701,182418,118333,113205
Cambodia,KHM,Forest area (% of land area),AG.LND.FRST.ZS,60.20611829,60.09747904,59.98883979,58.01466123,56.04048266,54.0663041,52.09212554,50.11794697,49.2359506,48.35395423,47.47195785
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
